,date,time,temperature_celsius,weather,wind_speed_km,wind_direction,humidity,barometer_mbar,visibility,degree,Cleaned Wind Direction,alerta_crecida,TIME,HEIGH_m
16,2022-01-01,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,
17,2022-01-01,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,,
18,2022-01-01,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,
19,2022-01-01,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,
22,2022-01-01,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,
21,2022-01-01,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,
23,2022-01-01,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,05:55:00,1.37
24,2022-01-01,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,05:55:00,1.37
27,2022-01-01,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,05:55:00,1.37
25,2022-01-01,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,,1.37
26,2022-01-01,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,,1.37
15,2022-01-01,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,1.37
20,2022-01-01,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,,1.37
13,2022-01-01,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,,1.37
12,2022-01-01,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,1.37
14,2022-01-01,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,1.37
10,2022-01-01,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,1.37
11,2022-01-01,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,1.37
9,2022-01-01,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,13:34:00,0.52
8,2022-01-01,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,,0.52
0,2022-01-01,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.52
7,2022-01-01,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.52
6,2022-01-01,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,18:30:00,1.07
5,2022-01-01,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,1.07
4,2022-01-01,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,,1.07
3,2022-01-01,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,1.07
2,2022-01-01,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,1.07
1,2022-01-01,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,,1.07
45,2022-01-02,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,1.07
43,2022-01-02,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,00:46:00,0.57
46,2022-01-02,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,0.57
47,2022-01-02,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,0.57
50,2022-01-02,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,0.57
49,2022-01-02,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,0.57
34,2022-01-02,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,,0.57
51,2022-01-02,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,,0.57
52,2022-01-02,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,,0.57
53,2022-01-02,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,06:47:00,1.31
54,2022-01-02,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,,1.31
55,2022-01-02,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,1.31
44,2022-01-02,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,,1.31
48,2022-01-02,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,,1.31
40,2022-01-02,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,1.31
42,2022-01-02,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,1.31
28,2022-01-02,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,1.31
30,2022-01-02,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,1.31
31,2022-01-02,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,14:23:00,0.49
32,2022-01-02,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,,0.49
29,2022-01-02,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.49
33,2022-01-02,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.49
41,2022-01-02,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,,0.49
35,2022-01-02,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,0.49
36,2022-01-02,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,19:32:00,1.23
37,2022-01-02,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,1.23
38,2022-01-02,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,1.23
39,2022-01-02,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,,1.23
78,2022-01-03,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,1.23
71,2022-01-03,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,,1.23
74,2022-01-03,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,02:27:00,0.63
75,2022-01-03,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,0.63
76,2022-01-03,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,0.63
77,2022-01-03,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,0.63
62,2022-01-03,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,,0.63
79,2022-01-03,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,,0.63
80,2022-01-03,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,,0.63
81,2022-01-03,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,,0.63
82,2022-01-03,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,07:36:00,1.23
83,2022-01-03,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,1.23
72,2022-01-03,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,,1.23
73,2022-01-03,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,,1.23
68,2022-01-03,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,1.23
70,2022-01-03,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,1.23
57,2022-01-03,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,1.23
60,2022-01-03,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,1.23
58,2022-01-03,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,,1.23
59,2022-01-03,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,15:11:00,0.46
56,2022-01-03,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.46
61,2022-01-03,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.46
69,2022-01-03,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,,0.46
63,2022-01-03,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,0.46
64,2022-01-03,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,20:30:00,1.38
65,2022-01-03,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,1.38
66,2022-01-03,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,1.38
67,2022-01-03,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,,1.38
100,2022-01-04,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,YES,,1.38
101,2022-01-04,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,YES,,1.38
105,2022-01-04,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,YES,,1.38
103,2022-01-04,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,YES,,1.38
104,2022-01-04,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,YES,03:53:00,0.66
111,2022-01-04,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,YES,,0.66
106,2022-01-04,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,YES,,0.66
107,2022-01-04,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,YES,,0.66
108,2022-01-04,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,YES,,0.66
98,2022-01-04,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,YES,,0.66
109,2022-01-04,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,YES,08:24:00,1.13
110,2022-01-04,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,YES,,1.13
99,2022-01-04,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,YES,,1.13
102,2022-01-04,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,YES,,1.13
94,2022-01-04,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,YES,,1.13
97,2022-01-04,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,YES,,1.13
84,2022-01-04,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,YES,,1.13
85,2022-01-04,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,YES,,1.13
86,2022-01-04,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,YES,,1.13
87,2022-01-04,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,YES,,1.13
88,2022-01-04,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,YES,15:58:00,0.41
96,2022-01-04,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,YES,,0.41
89,2022-01-04,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,YES,,0.41
91,2022-01-04,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,YES,,0.41
92,2022-01-04,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,YES,,0.41
93,2022-01-04,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,YES,21:29:00,1.49
95,2022-01-04,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,YES,,1.49
90,2022-01-04,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,YES,,1.49
134,2022-01-05,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,YES,,1.49
127,2022-01-05,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,YES,,1.49
129,2022-01-05,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,YES,,1.49
130,2022-01-05,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,YES,,1.49
131,2022-01-05,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,YES,,1.49
118,2022-01-05,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,YES,05:07:00,0.65
133,2022-01-05,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,YES,,0.65
135,2022-01-05,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,YES,,0.65
139,2022-01-05,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,YES,,0.65
136,2022-01-05,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,YES,,0.65
137,2022-01-05,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,YES,,0.65
138,2022-01-05,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,YES,09:11:00,1.01
128,2022-01-05,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,YES,,1.01
132,2022-01-05,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,YES,,1.01
124,2022-01-05,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,YES,,1.01
126,2022-01-05,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,YES,,1.01
113,2022-01-05,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,YES,,1.01
114,2022-01-05,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,YES,,1.01
115,2022-01-05,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,YES,,1.01
116,2022-01-05,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,YES,,1.01
112,2022-01-05,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,YES,,1.01
117,2022-01-05,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,YES,16:45:00,0.35
125,2022-01-05,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,YES,,0.35
119,2022-01-05,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,YES,,0.35
120,2022-01-05,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,YES,,0.35
121,2022-01-05,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,YES,,0.35
122,2022-01-05,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,YES,22:28:00,1.56
123,2022-01-05,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,YES,,1.56
156,2022-01-06,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,1.56
157,2022-01-06,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,,1.56
158,2022-01-06,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,1.56
161,2022-01-06,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,1.56
159,2022-01-06,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,1.56
160,2022-01-06,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,1.56
162,2022-01-06,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,06:17:00,0.63
163,2022-01-06,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,06:17:00,0.63
167,2022-01-06,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,06:17:00,0.63
164,2022-01-06,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,,0.63
165,2022-01-06,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,,0.63
166,2022-01-06,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,0.63
155,2022-01-06,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,09:56:00,0.89
154,2022-01-06,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,,0.89
150,2022-01-06,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,0.89
153,2022-01-06,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,0.89
140,2022-01-06,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,0.89
141,2022-01-06,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,0.89
142,2022-01-06,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,,0.89
143,2022-01-06,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,,0.89
144,2022-01-06,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.89
145,2022-01-06,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.89
152,2022-01-06,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,17:32:00,0.3
146,2022-01-06,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,0.3
147,2022-01-06,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,,0.3
148,2022-01-06,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,0.3
149,2022-01-06,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,0.3
151,2022-01-06,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,23:29:00,1.59
185,2022-01-07,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,1.59
186,2022-01-07,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,,1.59
187,2022-01-07,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,1.59
189,2022-01-07,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,1.59
188,2022-01-07,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,1.59
195,2022-01-07,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,1.59
190,2022-01-07,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,,1.59
191,2022-01-07,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,,1.59
192,2022-01-07,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,,1.59
182,2022-01-07,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,07:25:00,0.61
193,2022-01-07,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,,0.61
194,2022-01-07,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,0.61
183,2022-01-07,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,,0.61
184,2022-01-07,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,10:42:00,0.77
179,2022-01-07,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,0.77
181,2022-01-07,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,0.77
169,2022-01-07,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,0.77
171,2022-01-07,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,0.77
172,2022-01-07,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,,0.77
168,2022-01-07,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,,0.77
173,2022-01-07,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.77
180,2022-01-07,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.77
175,2022-01-07,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,18:18:00,0.26
176,2022-01-07,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,0.26
177,2022-01-07,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,,0.26
178,2022-01-07,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,0.26
174,2022-01-07,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,0.26
170,2022-01-07,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,,0.26
212,2022-01-08,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,0.26
213,2022-01-08,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,00:31:00,1.59
